stage,iteration,temperature,current_cost,new_cost,best_cost,current_distance,best_distance,accepted,reward,rem_idx,ins_idx,noise_idx,q_removed,unassigned,is_unvisited
stage1,1,314.2835907258475,4356.895696157539,4310.885370171615,4310.885370171615,4310.885370171615,4310.885370171615,1,0.009504311389380054,1,0,0,7,0,1
stage1,2,314.28044788994026,4310.885370171615,4307.25887540984,4307.25887540984,4307.25887540984,4307.25887540984,1,0.0007571171593152533,1,0,0,5,0,1
stage1,3,314.27730508546136,4307.25887540984,3830.8963861201773,3830.8963861201773,3830.8963861201773,3830.8963861201773,1,0.09953574947823456,2,0,0,8,0,1
stage1,4,314.2741623124105,3830.8963861201773,103654.5616809585,3830.8963861201773,3830.8963861201773,3830.8963861201773,0,-5.18023596513963,2,0,0,6,0,1
stage1,5,314.2710195707874,3830.8963861201773,3834.858406672576,3830.8963861201773,3834.858406672576,3830.8963861201773,1,-0.0009308052575053597,1,0,1,8,0,1
stage1,6,314.26787686059174,3834.858406672576,3824.665790891031,3824.665790891031,3824.665790891031,3824.665790891031,1,0.0023920972381742023,0,0,1,5,0,1
stage1,7,314.26473418182314,3824.665790891031,3763.9190593320814,3763.9190593320814,3763.9190593320814,3763.9190593320814,1,0.014294597591576178,0,0,1,9,0,1
stage1,8,314.26159153448134,3763.9190593320814,3594.8259242152762,3594.8259242152762,3594.8259242152762,3594.8259242152762,1,0.04043227795449195,2,0,0,12,0,1
stage1,9,314.258448918566,3594.8259242152762,3524.7321073943804,3524.7321073943804,3524.7321073943804,3524.7321073943804,1,0.0175486759216518,1,0,1,9,0,1
stage1,10,314.2553063340768,3524.7321073943804,3525.928370507378,3524.7321073943804,3525.928370507378,3524.7321073943804,1,-0.00030545209363267985,0,0,1,7,0,1
stage1,11,314.2521637810135,3525.928370507378,3524.7973339706027,3524.7321073943804,3524.7973339706027,3524.7321073943804,1,0.0002886992519792283,1,0,0,9,0,1
stage1,12,314.2490212593757,3524.7973339706027,3518.293610759676,3518.293610759676,3518.293610759676,3518.293610759676,1,0.0016606205506971116,1,0,0,10,0,1
stage1,13,314.24587876916314,3518.293610759676,3518.293610759676,3518.293610759676,3518.293610759676,3518.293610759676,1,0.0,2,0,0,6,0,0
stage1,14,314.24273631037545,3518.293610759676,3516.3592242419077,3516.3592242419077,3516.3592242419077,3516.3592242419077,1,0.0004948273392156336,0,0,0,8,0,1
stage1,15,314.23959388301233,3516.3592242419077,3516.3592242419077,3516.3592242419077,3516.3592242419077,3516.3592242419077,1,0.0,2,0,0,4,0,0
stage1,16,314.2364514870735,3516.3592242419077,3516.3592242419077,3516.3592242419077,3516.3592242419077,3516.3592242419077,1,0.0,1,0,0,10,0,0
